# Logfile created on 2014-01-06 10:15:16 +0200 by logger.rb/36483
E, [2014-01-06T10:15:16.212128 #2244] ERROR -- : Errno::EACCES: Permission denied - /Library/Ruby/Gems/2.0.0/build_info/rake-0.9.2.2.info
/System/Library/Frameworks/Ruby.framework/Versions/2.0/usr/lib/ruby/2.0.0/open-uri.rb:36:in `initialize'  \n/System/Library/Frameworks/Ruby.framework/Versions/2.0/usr/lib/ruby/2.0.0/open-uri.rb:36:in `open'  \n/System/Library/Frameworks/Ruby.framework/Versions/2.0/usr/lib/ruby/2.0.0/open-uri.rb:36:in `open'  \n/System/Library/Frameworks/Ruby.framework/Versions/2.0/usr/lib/ruby/2.0.0/rubygems/installer.rb:776:in `write_build_info_file'  \n/System/Library/Frameworks/Ruby.framework/Versions/2.0/usr/lib/ruby/2.0.0/rubygems/installer.rb:219:in `install'  \n/Library/Ruby/Gems/2.0.0/gems/bundler-1.5.1/lib/bundler/source/rubygems.rb:101:in `block in install'  \n/Library/Ruby/Gems/2.0.0/gems/bundler-1.5.1/lib/bundler/rubygems_integration.rb:118:in `preserve_paths'  \n/Library/Ruby/Gems/2.0.0/gems/bundler-1.5.1/lib/bundler/source/rubygems.rb:94:in `install'  \n/Library/Ruby/Gems/2.0.0/gems/bundler-1.5.1/lib/bundler/installer.rb:111:in `block in install_gem_from_spec'  \n/Library/Ruby/Gems/2.0.0/gems/bundler-1.5.1/lib/bundler/rubygems_integration.rb:150:in `with_build_args'  \n/Library/Ruby/Gems/2.0.0/gems/bundler-1.5.1/lib/bundler/installer.rb:110:in `install_gem_from_spec'  \n/Library/Ruby/Gems/2.0.0/gems/bundler-1.5.1/lib/bundler/installer.rb:295:in `block in install_sequentially'  \n/System/Library/Frameworks/Ruby.framework/Versions/2.0/usr/lib/ruby/2.0.0/forwardable.rb:171:in `each'  \n/System/Library/Frameworks/Ruby.framework/Versions/2.0/usr/lib/ruby/2.0.0/forwardable.rb:171:in `each'  \n/Library/Ruby/Gems/2.0.0/gems/bundler-1.5.1/lib/bundler/installer.rb:294:in `install_sequentially'  \n/Library/Ruby/Gems/2.0.0/gems/bundler-1.5.1/lib/bundler/installer.rb:97:in `run'  \n/Library/Ruby/Gems/2.0.0/gems/bundler-1.5.1/lib/bundler/installer.rb:15:in `install'  \n/Library/Ruby/Gems/2.0.0/gems/bundler-1.5.1/lib/bundler/cli.rb:257:in `install'  \n/Library/Ruby/Gems/2.0.0/gems/bundler-1.5.1/lib/bundler/vendor/thor/command.rb:27:in `run'  \n/Library/Ruby/Gems/2.0.0/gems/bundler-1.5.1/lib/bundler/vendor/thor/invocation.rb:120:in `invoke_command'  \n/Library/Ruby/Gems/2.0.0/gems/bundler-1.5.1/lib/bundler/vendor/thor.rb:363:in `dispatch'  \n/Library/Ruby/Gems/2.0.0/gems/bundler-1.5.1/lib/bundler/vendor/thor/base.rb:438:in `start'  \n/Library/Ruby/Gems/2.0.0/gems/bundler-1.5.1/lib/bundler/cli.rb:10:in `start'  \n/Library/Ruby/Gems/2.0.0/gems/bundler-1.5.1/bin/bundle:22:in `block in <top (required)>'  \n/Library/Ruby/Gems/2.0.0/gems/bundler-1.5.1/lib/bundler/friendly_errors.rb:5:in `with_friendly_errors'  \n/Library/Ruby/Gems/2.0.0/gems/bundler-1.5.1/bin/bundle:22:in `<top (required)>'  \n/usr/bin/bundle:23:in `load'  \n/usr/bin/bundle:23:in `<main>'
I, [2014-01-06T10:15:32.087406 #2261]  INFO -- : 0:  rake (0.9.2.2) from /Library/Ruby/Gems/2.0.0/specifications/rake-0.9.2.2.gemspec
I, [2014-01-06T10:15:43.568185 #2261]  INFO -- : 0:  RedCloth (4.2.9) from /Library/Ruby/Gems/2.0.0/specifications/RedCloth-4.2.9.gemspec
I, [2014-01-06T10:15:48.170652 #2261]  INFO -- : 0:  chunky_png (1.2.5) from /Library/Ruby/Gems/2.0.0/specifications/chunky_png-1.2.5.gemspec
I, [2014-01-06T10:15:50.563932 #2261]  INFO -- : 0:  fast-stemmer (1.0.1) from /Library/Ruby/Gems/2.0.0/specifications/fast-stemmer-1.0.1.gemspec
I, [2014-01-06T10:15:53.050668 #2261]  INFO -- : 0:  classifier (1.3.3) from /Library/Ruby/Gems/2.0.0/specifications/classifier-1.3.3.gemspec
I, [2014-01-06T10:15:54.744937 #2261]  INFO -- : 0:  fssm (0.2.9) from /Library/Ruby/Gems/2.0.0/specifications/fssm-0.2.9.gemspec
I, [2014-01-06T10:15:58.165025 #2261]  INFO -- : 0:  sass (3.2.9) from /Library/Ruby/Gems/2.0.0/specifications/sass-3.2.9.gemspec
I, [2014-01-06T10:16:12.196137 #2261]  INFO -- : 0:  compass (0.12.2) from /Library/Ruby/Gems/2.0.0/specifications/compass-0.12.2.gemspec
I, [2014-01-06T10:16:13.627126 #2261]  INFO -- : 0:  directory_watcher (1.4.1) from /Library/Ruby/Gems/2.0.0/specifications/directory_watcher-1.4.1.gemspec
I, [2014-01-06T10:16:19.155601 #2261]  INFO -- : 0:  haml (3.1.7) from /Library/Ruby/Gems/2.0.0/specifications/haml-3.1.7.gemspec
